Skyline College,,,,Open Classes,Fall 2022,-,,,,,,8/6/2022,4:34:04,AM,
95143,ECE.,210,QBH,Early Child Ed Principles,11/01-11/03,TR,1110 - 1240,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,08/12-08/18,TRF,1110 - 1240,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,10/14-10/20,TRF,1110 - 1240,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,08/10-08/10,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,08/24-08/24,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,09/07-09/07,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,09/21-09/21,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,10/05-10/12,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
95143,ECE.,210,QBH,Early Child Ed Principles,10/26-10/26,W,1005 - 1130,"Francisco, Elaine Tan",3,2-OCEN,0,,,
93148,ECE.,211,HS,Early Child Ed Curriculum,10/19-11/16,W,1800 - 2100,"Staff,",3,2-14,6,Y,,
93148,ECE.,211,HS,Early Child Ed Curriculum,11/30-12/07,W,1800 - 2100,"Staff,",3,2-14,6,Y,,
93148,ECE.,211,HS,Early Child Ed Curriculum,10/17-12/10,,-,"Staff,",3,2-ONLN,0,Y,,
94044,ECE.,212,HS,"Child, Family & Community",10/17-10/24,M,1800 - 2105,"Staff,",3,2-14,6,Y,,
94044,ECE.,212,HS,"Child, Family & Community",11/07-12/05,M,1800 - 2105,"Staff,",3,2-14,6,Y,,
94044,ECE.,212,HS,"Child, Family & Community",10/17-12/10,,-,"Staff,",3,2-ONLN,0,Y,,
97038,ECE.,225,OLH,Infant/Toddler Environments,10/17-12/10,,-,"Venkataraman, Sujatha",3,2-ONLN,0,Y,,
97261,ECE.,240,OLH,ECE Admin: Bus/Legal,08/17-10/15,,-,"Campbell, Teresa Lee",3,2-ONLN,0,Y,,
89572,ECE.,241,OLH,ECE Admin: Human Relations,10/17-12/10,,-,"Campbell, Teresa Lee",3,3,2-ONLN,0,Y,
96193,ECE.,272,HL,Teaching in a Diverse Society,08/18-08/18,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,09/01-09/01,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,09/15-09/15,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,09/29-09/29,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,10/13-10/13,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,10/27-10/27,R,1800 - 2100,"Venkataraman, Sujatha",3,2-08,8317,Y,,
,,,,,,,15,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96193,ECE.,272,HL,Teaching in a Diverse Society,11/10-11/10,R,1800 - 2100,"Venkataraman, Sujatha",3,,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,12/01-12/01,R,1800 - 2100,"Venkataraman, Sujatha",3,,2-08,8317,Y,,
96193,ECE.,272,HL,Teaching in a Diverse Society,08/18-12/15,,-,"Venkataraman, Sujatha",3,,2-ONLN,0,Y,,
95452,ECE.,333,HL,Observation and Assessment,08/25-08/25,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,09/08-09/08,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,09/22-09/22,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,10/06-10/06,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,10/20-10/20,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,11/03-11/03,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,11/17-11/17,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,12/08-12/08,R,1800 - 2100,"Rodriguez, Thomas Javier",3,,2-08,8317,Y,,
95452,ECE.,333,HL,Observation and Assessment,08/18-12/15,,-,"Rodriguez, Thomas Javier",3,,2-ONLN,0,Y,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,08/23-08/23,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,09/06-09/06,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,09/27-09/27,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,10/18-10/18,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,11/15-11/15,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,12/06-12/06,T,1800 - 2100,"Brow ne, Kathryn W",3,3,2-08,8317,,,
89888,ECE.,366,JX,Practicum in Early Child. Ed.,08/17-12/17,,-,"Brow ne, Kathryn W",3,3,2-TBA,0,,,
93281,ECE.,670,OAH,ECE Cooperative Education,08/17-12/17,,-,"Watts, Jacinda Marie",1,,2-TBA,0,Y,,
97743,ECE.,910,HX,ECE Principles - ECAP,08/17-10/15,M,1800 - 2105,"Brow ne, Kathryn W",3,,2-14,6,Y,Y,
97743,ECE.,910,HX,ECE Principles - ECAP,08/17-10/15,,1800 - 2105,"Brow ne, Kathryn W",3,,2-ONLN,0,Y,Y,
97744,ECE.,912,HX,Child/Fam/Community - ECAP,10/17-10/24,M,1800 - 2105,"Staff,",3,,2-14,6,Y,Y,
97744,ECE.,912,HX,Child/Fam/Community - ECAP,11/07-12/05,M,1800 - 2105,"Staff,",3,,2-14,6,Y,Y,
97744,ECE.,912,HX,Child/Fam/Community - ECAP,10/17-12/10,,-,"Staff,",3,,2-ONLN,0,Y,Y,
96774,ECON,100,ONH,Principles of Macro Economics,08/17-12/17,,-,"Speight, Lonnie",3,,2-ONLN,0,Y,,
87360,ECON,100,OTH,Principles of Macro Economics,08/17-12/17,,-,"Speight, Lonnie",3,3,2-ONLN,0,Y,,
,,,,,,,16,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
97365,ECON,102,AA,Principles of Micro Economics,,08/18-12/08,TR,0935 - 1050,"Suzuki, Masao F.",3,2-12,116,,,
96773,ECON,102,ONH,Principles of Micro Economics,,08/17-12/17,,-,"Suzuki, Masao F.",3,2-ONLN,0,Y,,
80291,ECON,102,OSH,Principles of Microeconomics,,10/17-12/17,,-,"Speight, Lonnie",3,3,2-ONLN,0,Y,
97554,ECON,210,OLH,Economics of the Environment,,08/17-12/17,,-,"Suzuki, Masao F.",3,2-ONLN,0,Y,,
96946,EDAC,823,AA,Fundamental Skills: Writing I,,08/23-12/06,T,1210 - 1300,"Truglio, Jessica Leigh",1,2-05,5131,,,
96954,EDAC,828,OSH,Technology Tools for Writing,,09/19-11/07,,-,"Saccio Kent, Kimberly Fay",1,2-ONLN,0,Y,,
96952,EDAC,830,OSH,Intro Assistive Computer Tech,,09/19-11/07,,-,"Saccio Kent, Kimberly Fay",1,2-ONLN,0,Y,,
96955,EDAC,831,OSH,Technology Tools for Reading,,09/21-11/16,,-,"Saccio Kent, Kimberly Fay",1,2-ONLN,0,Y,,
96958,EDAC,832,OSH,Tech Tools for Note Taking,,09/21-11/16,,-,"Saccio Kent, Kimberly Fay",1,2-ONLN,0,Y,,
96947,EDAC,840,AA,Success Strategies for Math,,08/18-12/08,R,1210 - 1300,"Truglio, Jessica Leigh",1,2-05,5131,,,
97246,ELEC,111,HA,Intro to Electronics Fundmntls,,08/18-12/08,T,1410 - 1700,"Langhoff, Nicholas Patric",3,2-07,7304,Y,,
97246,ELEC,111,HA,Intro to Electronics Fundmntls,,08/18-12/08,TR,1005 - 1055,"Langhoff, Nicholas Patric",3,2-ONLN,0,Y,,
97247,ELEC,231,AA,Basic Applied Electronics Math,,08/18-12/08,TR,1310 - 1400,"Tsuchida, Tadashi P",2,2-07,7310,,,
87370,EMC.,425,JS,CPR: Health Care Provider,,09/12-09/13,MT,1800 - 2200,"Miller, Richard Carl",0.5,2-07,7115,,,
87371,EMC.,425,KS,CPR: Health Care Provider,,10/10-10/11,MT,1800 - 2200,"Miller, Richard Carl",0.5,2-07,7115,,,
90529,EMC.,425,LS,CPR: Health Care Provider,,11/14-11/15,MT,1800 - 2200,"Miller, Richard Carl",0.5,2-07,7115,,,
80307,ENGL,100,JA,Composition,,08/17-12/14,W,1830 - 2130,"McClung, Kathleen E",3,3,2-08,8118,,
97703,ENGL,103,AK,ENGLSkillsCultProd I Kababayan,,08/18-12/08,TR,1235 - 1350,"Erpelo, LizaMarie S",3,2-08,8117,Y,,
95589,ENGL,105,AK,Composition w ith Suppor - KABA,,08/17-12/09,MWF,1010 - 1135,"Erpelo, LizaMarie S",5,2-08,8220,Y,,
95483,ENGL,105,AP,Comp. w ith Support - Puente,,08/18-12/08,TR,1110 - 1335,"Lachmayr, Lucia Katherine",5,2-08,8116,Y,,
95434,ENGL,105,JA,Composition w / Support - ECAP,,08/18-12/15,TR,1800 - 2020,"Ghan, Courtney Vanessa",5,2-08,8118,Y,,
96650,ENGL,105,M2,Com w,Supp Middle College,08/17-12/09,MTWRF,0910 - 1000,"Belluomini, Jessica Lynn",5,2-08,8116,,,
96649,ENGL,105,MC,Comp w,Supp Middle College,08/17-12/09,MTWRF,0810 - 0900,"Belluomini, Jessica Lynn",5,2-08,8116,,,
97277,ENGL,105,ONH,Composition w ith Support,,08/17-12/17,,-,"Ghan, Courtney Vanessa",5,2-ONLN,0,Y,,
96635,ENGL,105,PK,Comp w,Support KABA PROM,08/17-12/09,MWF,1010 - 1135,"Erpelo, LizaMarie S",5,2-08,8220,Y,,
97701,ENGL,105,POH,Comp w ith Support PROM,,08/17-12/17,,-,"Clark, Michelle Beatrice",5,2-ONLN,0,Y,,
96638,ENGL,105,PP,Comp w,Supp PUENTE PROM,08/18-12/08,TR,1110 - 1335,"Lachmayr, Lucia Katherine",5,2-08,8116,Y,,
,,,,,,,,17,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96691,ENGL,105,PY,Comp w,Supp. - FYE PROM,08/17-12/09,MWF,0935 - 1100,"Feiner, Jarrod Reed Emanu",5,2-08,8226,Y,,
97316,ENGL,110,AB,"Compos., Lit. & Crit. Thinking",,08/17-12/09,MWF,1010 - 1100,"Sanchez, Hector Fierro",3,2-08,8116,,,
94359,ENGL,110,AC,"Compos., Lit. & Crit. Thinking",,08/18-12/08,TR,1110 - 1225,"Williams, Robert R",3,2-08,8220,,,
96960,ENGL,110,AF,"Compos., Lit. & Crit. Thinking",,08/17-12/09,MWF,1110 - 1200,"Cross, Michael T.",3,2-08,8116,,,
93958,ENGL,110,AL,"Compos., Lit. & Crit. Thinking",,08/18-12/08,TR,0935 - 1050,"Williams, Robert R",3,2-08,8226,,,
90457,ENGL,110,AX,"Comp, Lit. & Critical Thinking",,08/17-12/07,MW,1210 - 1325,"Cross, Michael T.",3,3,2-08,8220,,
97279,ENGL,110,OSH,"Compos., Lit. & Crit. Thinking",,10/17-12/17,,-,"Bell, Rachel Kathrin",3,2-ONLN,0,Y,,
96658,ENGL,110,PA,Compos.Lit.&Crit.Thinking PROM,,08/17-12/07,MW,1210 - 1325,"Cross, Michael T.",3,2-08,8220,,,
80322,ENGL,161,AX,Creative Writing I,,08/18-12/08,TR,1235 - 1350,"McClung, Kathleen E",3,3,2-08,8220,,
94507,ENGL,161,OLH,Creative Writing I,,08/17-12/17,,-,"Williams, Robert R",3,2-ONLN,0,Y,,
97705,ENGL,162,AX,Creative Writing II,,08/18-12/08,TR,1235 - 1350,"McClung, Kathleen E",3,2-08,8220,,,
91086,ENGL,165,OLH,Critical Think. & Adv. Compos.,,08/17-12/17,,-,"Christensen, Gregory Leif",3,3,2-ONLN,0,Y,
80332,ENGL,650,OLH,English Supplement for TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-ONLN,0,Y,
93630,ENGL,650,OMH,English Supplement for TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-ONLN,0,Y,
97592,ENGL,650,TI,English Supplement for TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-05,5100,,
89715,ENGL,650,TR,English Supplement for TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-05,5100,,
95569,ENGR,100,AA,Introduction to Engineering,,08/17-12/07,MW,1210 - 1300,"Khan, Maryam I",3,2-07,7104,,,
95569,ENGR,100,AA,Introduction to Engineering,,08/17-12/07,W,1310 - 1600,"Khan, Maryam I",3,2-07,7310,,,
95003,ENGR,100,EN,Intro. to Engineering - ETS,,08/17-12/07,MW,1210 - 1300,"Khan, Maryam I",3,2-07,7104,Y,,
95003,ENGR,100,EN,Intro. to Engineering - ETS,,08/17-12/07,W,1310 - 1600,"Khan, Maryam I",3,2-07,7310,Y,,
96220,ENGR,215,EN,Computation Mthds for Engr-ETS,,08/17-12/17,,-,"Staff,",3,2-ONLN,0,Y,Y,
96219,ENGR,215,OXH,Computational Methods for Engr,,08/17-12/17,,-,"Khan, Maryam I",3,2-ONLN,0,Y,,
96625,ENGR,230,EN,Engineering Statics -ETS,,08/18-12/08,TR,0935 - 1050,"Sukumar, Sumithira",3,2-ONLN,0,Y,,
95484,ENGR,260,AX,Circuits and Devices,,08/18-12/08,TR,1110 - 1225,"Langhoff, Nicholas Patric",3,3,2-07,7310,,
95798,ENGR,260,HX,Circuits and Devices,,10/06-10/06,R,1110 - 1225,"Langhoff, Nicholas Patric",3,4,2-07,7310,Y,
95798,ENGR,260,HX,Circuits and Devices,,12/06-12/06,T,1110 - 1225,"Langhoff, Nicholas Patric",3,4,2-07,7310,Y,
95798,ENGR,260,HX,Circuits and Devices,,08/18-12/08,TR,1110 - 1225,"Langhoff, Nicholas Patric",3,4,2-ONLN,0,Y,
,,,,,,,,18,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96627,ENGR,261,EN,Circuits & Devices Lab.- ETS,08/23-12/13,T,1810 - 2100,"McCall, Thomas Brooks",1,,2-07,7304,Y,,
95486,ENGR,261,JA,Circuits & Devices Lab.,08/23-12/13,T,1810 - 2100,"McCall, Thomas Brooks",1,,2-07,7304,,,
96685,ENVS,100,PA,Intro to Environment Sci PROM,08/18-12/08,TR,0935 - 1050,"Danfoura, Mays Nakhleh",3,,2-12,130,,,
91643,ESOL,400,AS,English Comp-Nonnative Spkrs,08/29-12/09,MWF,0935 - 1125,"Mazzi, Felicia Alvarez",5,5,2-08,8118,,,
97657,ESOL,400,HA,English Comp-Nonnative Spkrs,08/17-12/09,TR,1410 - 1550,"Struss, Erinn D",5,,2-08,8319,Y,,
97657,ESOL,400,HA,English Comp-Nonnative Spkrs,08/17-12/09,,-,"Struss, Erinn D",5,,2-ONLN,0,Y,,
97713,ESOL,808,JS,English for Job Searching,08/30-12/13,T,1700 - 1800,"Kocak, Mine",1,,2-08,8319,,,
85322,ESOL,830,AS,ENGL Spkrs Other Languages III,08/30-12/08,TR,0935 - 1245,"Struss, Erinn D",6,6,2-07,7109,,,
97667,ESOL,840,AA,ENGL Spkrs Other Languages IV,08/18-12/08,TR,0935 - 1225,"Mazzi, Felicia Alvarez",6,,2-08,8319,,,
96754,ESOL,840,AS,ENGL Spkrs Other Languages IV,08/29-12/09,MWF,0935 - 1145,"Shaw , Leigh A",6,,2-08,8319,,,
97668,ESOL,853,AS,Int. ESL Listening & Speaking,08/30-12/08,TR,1410 - 1615,"Shaw , Leigh A",4,,2-07,7109,,,
97669,ESOL,854,AS,High-Int. ESL Listen & Speak,08/29-12/09,MWF,1235 - 1355,"Shaw , Leigh A",4,,2-08,8319,,,
97670,ESOL,873,SSH,Intermediate ESL Grammar,09/10-12/17,S,0900 - 1235,"Struss, Erinn D",3,,2-08,8319,,,
97671,ESOL,875,AS,Advanced ESL Grammar & Editing 08/29-12/09,,MWF,1210 - 1315,"Mazzi, Felicia Alvarez",3,,2-08,8118,,,
97117,ESTI,776,HA,Esthetics II,08/17-12/08,MTWR,0900 - 1235,"Calderon, Tammy Elizabeth",12,,2-04,122,Y,,
97117,ESTI,776,HA,Esthetics II,08/17-12/08,,-,"Calderon, Tammy Elizabeth",12,,2-ONLN,0,Y,,
97609,ETHN,103,AA,Asian American US Institutions,08/18-12/07,MW,0935 - 1050,"Daus - Magbual, Roderick",3,,2-12,120,,,
97607,ETHN,103,OMH,Asian American US Institutions,08/17-12/17,,-,"Villela-Smith, Arnetta",3,,2-ONLN,0,Y,,
97610,ETHN,108,AA,"Race, Gender, Pow er in America",08/17-12/07,MW,1110 - 1225,"Villela-Smith, Arnetta",3,,2-12,120,,,
97258,ETHN,108,OMH,"Race, Gender, Pow er in America",08/17-12/17,,-,"Villela-Smith, Arnetta",3,,2-ONLN,0,Y,,
97260,ETHN,142,AK,Filipina/o Community Iss. KABA,08/18-12/08,TR,1235 - 1350,"Daus - Magbual, Roderick",3,,2-04,170,Y,,
97259,ETHN,142,AX,Filipina/o Community Issues,08/18-12/08,TR,1235 - 1350,"Daus - Magbual, Roderick",3,,2-04,170,,,
97611,ETHN,142,OLH,Filipina/o/x Community Issues,08/17-12/17,,-,"Daus - Magbual, Roderick",3,,2-ONLN,0,Y,Y,
97478,FILI,110,JA,Elementary Filipino- KABA,08/18-12/15,TR,1800 - 2015,"Desai, Maharaj S.",5,,2-08,8117,Y,,
97305,FILM,100,OLH,Introduction to Film,08/17-12/17,,-,"Perkins, Tamara Danielle",3,,2-ONLN,0,Y,,
93189,FITN,107,JO,Intercollegiate Fitness,08/08-08/31,,-,"Haddon, James N",0.5,0.5,2-03,3106,,,
94056,FITN,116.1,AX,Body Conditioning I,08/17-12/08,TR,1110 - 1225,"Marquez, Rachelle L",1,1,2-03,3102,,,
,,,,,,,19,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
97340,FITN,116.1,JX,Body Conditioning I,08/17-12/14,MW,1810 - 1930,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94054,FITN,116.1,KX,Body Conditioning I,08/17-12/16,MWF,1610 - 1700,"Brunicardi, Anthony Micha",1,1,2-03,3102,,,
94055,FITN,116.1,OLH,Body Conditioning I,08/17-12/17,,-,"Saucedo, Gabriel Anselmo",1,1,2-ONLN,0,Y,,
94059,FITN,116.2,AX,Body Conditioning II,08/17-12/08,TR,1110 - 1225,"Marquez, Rachelle L",1,1,2-03,3102,,,
97341,FITN,116.2,JX,Body Conditioning II,08/17-12/14,MW,1810 - 1930,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94061,FITN,116.2,KX,Body Conditioning II,08/17-12/16,MWF,1610 - 1700,"Brunicardi, Anthony Micha",1,1,2-03,3102,,,
94060,FITN,116.2,OLH,Body Conditioning II,08/17-12/17,,-,"Saucedo, Gabriel Anselmo",1,1,2-ONLN,0,Y,,
94064,FITN,116.3,AX,Body Conditioning III,08/17-12/08,TR,1110 - 1225,"Marquez, Rachelle L",1,1,2-03,3102,,,
97342,FITN,116.3,JX,Body Conditioning III,08/17-12/14,MW,1810 - 1930,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94062,FITN,116.3,KX,Body Conditioning III,08/17-12/16,MWF,1610 - 1700,"Brunicardi, Anthony Micha",1,1,2-03,3102,,,
94063,FITN,116.3,OLH,Body Conditioning III,08/17-12/17,,-,"Saucedo, Gabriel Anselmo",1,1,2-ONLN,0,Y,,
97343,FITN,116.4,JX,Body Conditioning IV,08/17-12/14,MW,1810 - 1930,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
97334,FITN,116.4,KX,Body Conditioning IV,08/17-12/16,MWF,1610 - 1700,"Brunicardi, Anthony Micha",1,1,2-03,3102,,,
94069,FITN,199.1,OLH,Interactive Cardio Fitness I,08/17-12/17,,-,"Corsiglia, Kevin A",2,,2-ONLN,0,Y,,
96962,FITN,199.1,OMH,Interactive Cardio Fitness I,08/17-12/17,,-,"Corsiglia, Kevin A",2,,2-ONLN,0,Y,,
94070,FITN,199.2,OLH,Interactive Cardio Fitness II,08/17-12/17,,-,"Corsiglia, Kevin A",2,,2-ONLN,0,Y,,
94075,FITN,201.1,AX,Weight Training I,08/17-12/09,MWF,0910 - 1000,"Sharabi, Moshe M",1,1,2-03,3102,,,
94072,FITN,201.1,BX,Weight Training I,08/18-12/08,TR,0935 - 1050,"Sharabi, Moshe M",1,1,2-03,3102,,,
97344,FITN,201.1,JX,Weight Training I,08/18-12/15,TR,1810 - 1925,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94078,FITN,201.2,AX,Weight Training II,08/17-12/09,MWF,0910 - 1000,"Sharabi, Moshe M",1,1,2-03,3102,,,
94076,FITN,201.2,BX,Weight Training II,08/18-12/08,TR,0935 - 1050,"Sharabi, Moshe M",1,1,2-03,3102,,,
97345,FITN,201.2,JX,Weight Training II,08/18-12/15,TR,1810 - 1925,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94082,FITN,201.3,AX,Weight Training III,08/17-12/09,MWF,0910 - 1000,"Sharabi, Moshe M",1,1,2-03,3102,,,
94084,FITN,201.3,BX,Weight Training III,08/18-12/08,TR,0935 - 1050,"Sharabi, Moshe M",1,1,2-03,3102,,,
97346,FITN,201.3,JX,Weight Training III,08/18-12/15,TR,1810 - 1925,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
97347,FITN,201.4,JX,Weight Training IV,08/18-12/15,TR,1810 - 1925,"Diaz, Sunny Tampico",1,1,2-03,3102,,,
94085,FITN,219.1,HX,Core Fitness Training I,08/17-12/07,MW,1110 - 1200,"Steele, Amber N",1,1,2-03,3201,Y,,
,,,,,,,20,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
94085,FITN,219.1,HX,Core Fitness Training I,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94086,FITN,219.2,HX,Core Fitness Training II,08/17-12/07,MW,1110 - 1200,"Steele, Amber N",1,1,2-03,3201,Y,,
94086,FITN,219.2,HX,Core Fitness Training II,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94087,FITN,219.3,HX,Core Fitness Training III,08/17-12/07,MW,1110 - 1200,"Steele, Amber N",1,1,2-03,3201,Y,,
94087,FITN,219.3,HX,Core Fitness Training III,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94090,FITN,301.1,CX,Spinning I,08/18-12/08,TR,0935 - 1050,"Fitzgerald, Michael Clark",1,1,2-03,B,,,
94094,FITN,301.2,CX,Spinning II,08/18-12/08,TR,0935 - 1050,"Fitzgerald, Michael Clark",1,1,2-03,B,,,
94102,FITN,301.3,CX,Spinning III,08/18-12/08,TR,0935 - 1050,"Fitzgerald, Michael Clark",1,1,2-03,B,,,
97045,FITN,304.1,OLH,Walking Fitness I,08/17-12/17,,-,"Watters, Christopher John",1,1,2-ONLN,0,Y,,
97046,FITN,304.2,OLH,Walking Fitness II,08/17-12/17,,-,"Watters, Christopher John",1,1,2-ONLN,0,Y,,
97065,FITN,332.1,OLH,Stretching and Flexibility I,08/17-12/17,,-,"Watters, Christopher John",1,1,2-ONLN,0,Y,,
97066,FITN,332.2,OLH,Stretching and Flexibility II,08/17-12/17,,-,"Watters, Christopher John",1,1,2-ONLN,0,Y,,
97241,FITN,332.3,OLH,Stretching and Flexibility III,08/17-12/17,,-,"Watters, Christopher John",1,1,2-ONLN,0,Y,,
94475,FITN,334.1,BX,Yoga I,08/18-12/08,TR,1410 - 1525,"Cho, David Hing Pang",1,1,2-03,3201,,,
94117,FITN,334.1,CX,Yoga I,08/18-12/08,TR,0935 - 1050,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94154,FITN,334.1,HX,Yoga I,08/17-12/07,MW,1010 - 1100,"Steele, Amber N",1,1,2-03,3201,Y,,
94154,FITN,334.1,HX,Yoga I,08/17-12/09,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94119,FITN,334.1,YJH,Yoga I,08/18-12/15,TR,1810 - 1925,"Cho, David Hing Pang",1,1,2-ONLN,0,,,
94476,FITN,334.2,BX,Yoga II,08/18-12/08,TR,1410 - 1525,"Cho, David Hing Pang",1,1,2-03,3201,,,
94128,FITN,334.2,CX,Yoga II,08/18-12/08,TR,0935 - 1050,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94156,FITN,334.2,HX,Yoga II,08/17-12/07,MW,1010 - 1100,"Steele, Amber N",1,1,2-03,3201,Y,,
94156,FITN,334.2,HX,Yoga II,08/17-12/09,T,-,"Steele, Amber N",1,1,,,Y,,
94156,FITN,334.2,HX,Yoga II,08/17-12/09,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94126,FITN,334.2,YJH,Yoga II,08/18-12/15,TR,1810 - 1925,"Cho, David Hing Pang",1,1,2-ONLN,0,,,
94477,FITN,334.3,BX,Yoga III,08/18-12/08,TR,1410 - 1525,"Cho, David Hing Pang",1,1,2-03,3201,,,
94132,FITN,334.3,CX,Yoga III,08/18-12/08,TR,0935 - 1050,"Simmers, Kevin Ralph",1,1,2-03,3201,,,
94157,FITN,334.3,HX,Yoga III,08/17-12/07,MW,1010 - 1100,"Steele, Amber N",1,1,2-03,3201,Y,,
,,,,,,,21,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
94157,FITN,334.3,HX,Yoga III,08/17-12/09,,-,"Steele, Amber N",1,1,,,Y,,
